,-t1-t2,t1-t2,-t1t2,t1t2,
,0,0,0,0,
-t1-t2p2;,1,1,1,1,

-t1-t2p1;,0,0,0,0,
-t1-t2p2;-t1-t2p1;,0,0,0,0,
-t1-t2p2;-t1-t2p2;,0,0,0,0,
-t1-t2p2;-t1-t2p3;,0,0,0,0,
-t1-t2p2;t1-t2p1;,0,0,0,0,
-t1-t2p2;t1-t2p2;,0,0,0,0,
-t1-t2p2;t1-t2p3;,0,0,0,0,
-t1-t2p2;-t1t2p1;,0,0,0,0,
-t1-t2p2;-t1t2p2;,0,0,0,0,
-t1-t2p2;-t1t2p3;,0,0,0,0,
-t1-t2p2;t1t2p1;,0,0,0,0,
-t1-t2p2;t1t2p2;,0,0,0,0,
-t1-t2p2;t1t2p3;,0,0,0,0,
-t1-t2p3;,0,0,0,0,
t1-t2p1;,1,1,1,1,
t1-t2p2;,0,0,0,0,
t1-t2p3;,0,0,0,0,
-t1t2p1;,0,0,0,0,
-t1t2p2;,1,1,1,1,
-t1t2p3;,0,0,0,0,
t1t2p1;,1,1,1,1,
t1t2p2;,0,0,0,0,
t1t2p3;,0,0,0,0,
