,,-t1-t2p1;-t1-t2p2;,-t1-t2p2;,
,{},{},{-t1-t2;t1-t2;-t1t2;t1t2;},
-t1-t2p1;,{},{},{},
-t1-t2p2;,{-t1-t2;t1-t2;-t1t2;t1t2;},{},{},

-t1-t2p1;-t1-t2p1;,{},{},{},
-t1-t2p1;-t1-t2p2;,{},{},{},
-t1-t2p1;-t1-t2p3;,{},{},{},
-t1-t2p1;t1-t2p1;,{},{},{},
-t1-t2p1;t1-t2p2;,{},{},{},
-t1-t2p1;t1-t2p3;,{},{},{},
-t1-t2p1;-t1t2p1;,{},{},{},
-t1-t2p1;-t1t2p2;,{},{},{},
-t1-t2p1;-t1t2p3;,{},{},{},
-t1-t2p1;t1t2p1;,{},{},{},
-t1-t2p1;t1t2p2;,{},{},{},
-t1-t2p1;t1t2p3;,{},{},{},
-t1-t2p2;-t1-t2p1;,{},{},{},
-t1-t2p2;-t1-t2p2;,{},{},{},
-t1-t2p2;-t1-t2p3;,{},{},{},
-t1-t2p2;t1-t2p1;,{},{},{},
-t1-t2p2;t1-t2p2;,{},{},{},
-t1-t2p2;t1-t2p3;,{},{},{},
-t1-t2p2;-t1t2p1;,{},{},{},
-t1-t2p2;-t1t2p2;,{},{},{},
-t1-t2p2;-t1t2p3;,{},{},{},
-t1-t2p2;t1t2p1;,{},{},{},
-t1-t2p2;t1t2p2;,{},{},{},
-t1-t2p2;t1t2p3;,{},{},{},
-t1-t2p3;,{},{},{},
t1-t2p1;,{-t1-t2;t1-t2;-t1t2;t1t2;},{},{},
t1-t2p2;,{},{},{},
t1-t2p3;,{},{},{},
-t1t2p1;,{},{},{},
-t1t2p2;,{-t1-t2;t1-t2;-t1t2;t1t2;},{},{},
-t1t2p3;,{},{},{},
t1t2p1;,{-t1-t2;t1-t2;-t1t2;t1t2;},{},{},
t1t2p2;,{},{},{},
t1t2p3;,{},{},{},
